Cust_email,Cust_ID
amet.consectetuer@google.couk,44952192
tristique@hotmail.org,58859625
sed.eu@protonmail.com,42831728
mauris.elit@icloud.ca,28487188
ullamcorper@outlook.com,16583758
metus.eu.erat@yahoo.net,10173729
integer@protonmail.couk,29057676
pellentesque@yahoo.couk,51846584
phasellus.vitae.mauris@aol.edu,34179347
accumsan.sed@protonmail.couk,17746183
elit.etiam@yahoo.org,34868653
porttitor.tellus@google.couk,10957281
aliquet.diam.sed@yahoo.org,46755913
donec@icloud.net,43464768
metus.eu@google.couk,43572703
vehicula.aliquet.libero@outlook.org,86844236
integer.tincidunt@hotmail.couk,31965238
a.felis@yahoo.net,75505362
amet@hotmail.net,74070583
nunc.sed@yahoo.org,14324706
convallis.erat@hotmail.ca,75882864
phasellus@yahoo.net,44486666
placerat.eget.venenatis@protonmail.net,68598457
nulla.interdum@outlook.com,27282668
ultrices.a@aol.ca,28175620
vulputate@protonmail.com,57851811
nunc.nulla@yahoo.ca,63221947
lorem.eu@hotmail.org,51885930
metus.eu@yahoo.couk,31385766
sed.sem@icloud.net,61266183
sem.molestie@icloud.edu,55941214
nibh.dolor@icloud.edu,74516537
ac.nulla@icloud.org,22881532
faucibus.lectus@protonmail.net,61842525
donec.felis@outlook.ca,77996635
enim.mauris@protonmail.edu,54641033
ac.facilisis@hotmail.couk,41640016
dapibus.rutrum@icloud.net,32338237
magna.nec@protonmail.ca,96281664
phasellus.ornare.fusce@icloud.net,12376380
ornare@protonmail.edu,78773812
pretium.neque@aol.org,89274583
quam@icloud.net,68729274
dolor.sit.amet@aol.org,87315138
dapibus.ligula@aol.ca,22078733
consectetuer.euismod@aol.edu,70718658
habitant.morbi.tristique@aol.ca,67575355
scelerisque.sed@hotmail.net,68258255
ipsum.sodales.purus@google.org,63745428
rutrum.lorem@outlook.org,15598559
